%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
27368000000,0,26997.0,0.282739210873,18.1456784638,-89.6400183259,38.490801886,-53.5397461259,-17.8629392529,-128.130820212
27369000000,0,26998.0,0.188494357238,18.0888684062,-89.7300183446,-63.3643389328,-35.8437181449,-17.900374049,-26.3656794118
27370000000,0,26999.0,0.0942476432404,18.1216202009,-89.8200183633,31.7449337886,-52.6807764023,-18.0273725576,-121.564952152
27371000000,0,27000.0,-9.4367938871e-10,18.0317933964,-89.910018382,-119.962100064,-26.2263333017,-18.0317933973,30.052081682
27372000000,0,27001.0,-0.0942476451278,18.0558111047,-89.8200183633,21.6252052854,-51.1286787074,-18.1500587499,-111.445223649
27373000000,0,27002.0,-0.188494359126,17.9914560049,-89.7300183446,-72.0147168773,-34.8218953115,-18.179950364,-17.7153014673
27374000000,0,27003.0,-0.282739212761,18.008238679,-89.6400183259,14.7459948952,-50.1425645676,-18.2909778918,-104.386013221
27375000000,0,27004.0,-0.376981275874,17.9195064096,-89.5500183071,-119.06598714,-26.7818812139,-18.2964876855,29.5159688327
27376000000,0,27005.0,-0.471219618333,17.9330654182,-89.4600182884,8.80529929699,-49.2720601093,-18.4042850365,-98.2653175854
27377000000,0,27006.0,-0.565453310046,17.8691942504,-89.3700182697,-73.8094760943,-34.8903493222,-18.4346475604,-15.5605421754
27378000000,0,27007.0,-0.659681420962,17.8838696241,-89.280018251,12.5156906373,-50.1312944902,-18.543551045,-101.795708888
27379000000,0,27008.0,-0.75390302109,17.8273186589,-89.1900182322,-62.0184146591,-37.1726814563,-18.58122168,-27.1716035732
27380000000,0,27009.0,-0.848117180499,17.8549051612,-89.1000182135,25.8330080055,-52.7025182972,-18.7030223417,-114.933026219
27381000000,0,27010.0,-0.942322969333,17.7683561184,-89.0100181948,-117.816019465,-27.6286941234,-18.7106790877,28.8060012705
27382000000,0,27011.0,-1.03651945782,17.7970549438,-88.9200181761,27.1880434476,-53.1354569026,-18.8335744016,-116.108061624
27383000000,0,27012.0,-1.13070571628,17.7477967425,-88.8300181573,-57.955960834,-38.3377341366,-18.8785024587,-30.8740573234
27384000000,0,27013.0,-1.22488081513,17.7738677371,-88.7400181386,24.4250970161,-52.9100991703,-18.9987485522,-113.165115155
27385000000,0,27014.0,-1.3190438249,17.7229244568,-88.6500181199,-54.7963399805,-39.1430775885,-19.0419682817,-33.8536781394
27386000000,0,27015.0,-1.41319381624,17.7536646453,-88.5600181012,29.2333038628,-54.0112805563,-19.1668584615,-117.793321964
27387000000,0,27016.0,-1.50732985993,17.6699295811,-88.4700180824,-114.649515201,-28.9014416504,-19.177259441,26.1794971186
27388000000,0,27017.0,-1.60145102688,17.7027201464,-88.3800180637,31.6518727357,-54.6416402848,-19.3041711733,-120.031890799
27389000000,0,27018.0,-1.69555638816,17.6564722168,-88.290018045,-54.4087973328,-39.6890419127,-19.3520286049,-33.8812207122
27390000000,0,27019.0,-1.78964501497,17.6810456752,-88.2000180263,23.0363073277,-53.3971561615,-19.4706906901,-111.236325354
27391000000,0,27020.0,-1.88371597872,17.6078967916,-88.1100180076,-103.613616307,-31.3133870597,-19.4916127703,15.5035982996
27392000000,0,27021.0,-1.97776835095,17.6324992923,-88.0200179888,22.2940404899,-53.479797948,-19.6102676433,-110.314058479
27393000000,0,27022.0,-2.0718012034,17.5815763072,-87.9300179701,-61.1087868007,-38.982794493,-19.6533775106,-26.8212311694
27394000000,0,27023.0,-2.16581360801,17.5924859389,-87.8400179514,8.14313974665,-51.2369487922,-19.7582995469,-95.983157698
27395000000,0,27024.0,-2.25980463692,17.542916194,-87.7500179327,-54.5644264731,-40.3542378918,-19.8027208309,-33.1855914596
27396000000,0,27025.0,-2.35377336247,17.5650392601,-87.6600179139,20.1494929806,-53.5811844887,-19.9188126226,-107.809510895
27397000000,0,27026.0,-2.44771885722,17.4865892012,-87.5700178952,-108.673143173,-31.108734315,-19.9343080584,21.1031252781
27398000000,0,27027.0,-2.54164019398,17.5121549029,-87.4800178765,24.0440276463,-54.4650817602,-20.0537950969,-111.524045523
27399000000,0,27028.0,-2.63553644577,17.4675745222,-87.3900178578,-53.20982209,-41.0521086391,-20.103110968,-34.1801957678
27400000000,0,27029.0,-2.72940668589,17.4819065143,-87.300017839,12.1935522478,-52.6402890238,-20.2113132002,-99.4935700868
27401000000,0,27030.0,-2.82324998786,17.4377042134,-87.2100178203,-48.0077151636,-42.2041198177,-20.2609542013,-39.2023026568
27401000000,0,27031.0,-2.91706542549,17.4602595398,-87.1200178016,20.7380894828,-54.3899209947,-20.3773249653,-107.858107284
27403000000,0,27032.0,-3.01085207287,17.3847752874,-87.0300177829,-105.964799854,-32.2923354235,-20.3956273602,18.9347820709
27404000000,0,27033.0,-3.10460900435,17.4111619582,-86.9400177641,24.9992864444,-55.3438578825,-20.5157709625,-111.939304209
27405000000,0,27034.0,-3.1983352946,17.3691099333,-86.8500177454,-50.2263628355,-42.2889886201,-20.5674452279,-36.6236549099
27406000000,0,27035.0,-3.29203001856,17.3761120392,-86.7600177267,2.71968378684,-51.6898562151,-20.6681420577,-89.4797015135
27407000000,0,27036.0,-3.38569225152,17.3352895026,-86.670017708,-44.5391233729,-43.5181547614,-20.7209817541,-42.1308943351
27408000000,0,27037.0,-3.47932106906,17.3545653875,-86.5800176892,17.4051182133,-54.510810071,-20.8338864565,-103.985135902
27409000000,0,27038.0,-3.57291554711,17.2746254986,-86.4900176705,-109.807885885,-32.3160807472,-20.8475410457,23.3178682142
